tf,corr,nz,sum_a,sum_b,mean_a,mean_b,mean_ratio
CIC,0.9999999999999998,1510,21.995195268864116,21.995195268864116,0.0012768602849683103,0.0012768602849683103,1.0
ZNF37A,0.9999999999999998,5466,118.842816939028,118.84281693902797,0.006899037323756414,0.0068990373237564125,1.0000000000000002
RARG,0.9999999999999998,6057,226.65512723643192,226.65512723643192,0.013157734078511084,0.013157734078511084,1.0
ZNF808,0.9999999999999998,1679,85.341769024371,85.341769024371,0.004954241787087601,0.004954241787087601,1.0
BATF,0.9999999999999998,2658,165.27655593569423,165.27655593569423,0.009594598626244876,0.009594598626244876,1.0
ZFP69,0.9999999999999998,2463,81.77221935158805,81.77221935158805,0.004747023066967842,0.004747023066967842,1.0
ZNF34,0.9999999999999998,4215,93.51972478535329,93.51972478535329,0.005428986693681254,0.005428986693681254,1.0
ZFY,0.9999999999999998,4663,139.74063124149725,139.74063124149723,0.008112192687884434,0.008112192687884432,1.0000000000000002
ZHX1,0.9999999999999998,272,9.210142112558145,9.210142112558145,0.0005346651638545307,0.0005346651638545307,1.0
ZNF329,0.9999999999999998,4304,136.68733005905054,136.6873300590505,0.007934943112681444,0.007934943112681442,1.0000000000000002
ARID5B,0.9999999999999998,1150,56.78502126999315,56.78502126999315,0.003296471686403875,0.003296471686403875,1.0
E2F7,0.9999999999999998,5338,204.51077395506817,204.5107739550682,0.011872214905089294,0.011872214905089296,0.9999999999999999
E2F8,0.9999999999999998,1796,69.17123020974735,69.17123020974734,0.004015513189930765,0.004015513189930764,1.0000000000000002
CREB5,0.9999999999999998,1695,74.81456982829442,74.8145698282944,0.004343119112289239,0.004343119112289237,1.0000000000000004
THRA,0.9999999999999998,3842,71.33391560135425,71.33391560135425,0.0041410609312292025,0.0041410609312292025,1.0
ZNF765,0.9999999999999998,5167,122.89558530148544,122.89558530148545,0.007134307749999155,0.007134307749999156,0.9999999999999999
ZNF737,0.9999999999999998,939,45.9909751987153,45.9909751987153,0.0026698580749283233,0.0026698580749283233,1.0
NR4A2,0.9999999999999998,3410,163.0812065809882,163.08120658098818,0.009467154683675155,0.009467154683675153,1.0000000000000002
NR5A2,0.9999999999999998,4218,48.516556972171465,48.516556972171465,0.0028164725979433103,0.0028164725979433103,1.0
ESRRA,0.9999999999999998,6213,139.87441648863464,139.87441648863467,0.00811995915991145,0.008119959159911452,0.9999999999999998
ZNF273,0.9999999999999998,4412,147.06220029412538,147.06220029412538,0.008537222819814547,0.008537222819814547,1.0
ELK1,0.9999999999999998,5059,39.33470758918188,39.334707589181875,0.0022834498774632465,0.002283449877463246,1.0000000000000002
NRF1,0.9999999999999998,3727,51.93021145755656,51.93021145755655,0.0030146413245998233,0.003014641324599823,1.0000000000000002
ELF2,0.9999999999999998,6209,278.27701357927526,278.27701357927526,0.01615447658070796,0.01615447658070796,1.0
NFYC,0.9999999999999999,1708,28.54299019302246,28.54299019302246,0.0016569714497284606,0.0016569714497284606,1.0
RARA,0.9999999999999999,6447,394.0934346860941,394.0934346860941,0.022877826232793108,0.022877826232793108,1.0
NR3C1,0.9999999999999999,2108,38.58301113851062,38.58301113851062,0.002239812558836098,0.002239812558836098,1.0
